,wol,san,bre,lav,pol,ron,lij,bua,heb,xcl,rus,myv,sah,kat,vep,bul,eus,hbo,grc,ell,kxh,spa,fin,aln,krl,gle,swe,kpv,slv,koi,ita,azz,apu,est,hun,deu,isl,por,arb,quc,mar,fra,ukr,cym,hbs,glg,fao,uzb,lit,ota,ces,nds,bor,olo,hit,uig,tam,mdf,kmr,sms,sme,abk,sqi,xnr,kaz,nhi,hyw,tur,hin,amh,mkd,slk,kir,bel,yrl,fas,eng,cat,xpg,lat,fro,nld,ttc,frm,hye,orv,hsb,bho,chu,got
isl,20.0,4.0,38.0,244.0,250.0,233.0,18.0,64.0,52.0,9.0,234.0,175.0,3.0,214.0,93.0,241.0,11.0,13.0,44.0,208.0,10.0,225.0,263.0,13.0,5.0,5.0,113.0,171.0,228.0,4.0,218.0,7.0,6.0,269.0,186.0,228.0,870.0,193.0,128.0,87.0,19.0,114.0,222.0,73.0,246.0,57.0,95.0,12.0,220.0,69.0,257.0,174.0,7.0,4.0,5.0,41.0,14.0,36.0,15.0,10.0,95.0,12.0,108.0,5.0,44.0,13.0,216.0,94.0,152.0,8.0,16.0,218.0,7.0,175.0,21.0,83.0,173.0,190.0,4.0,25.0,148.0,253.0,9.0,43.0,213.0,43.0,120.0,6.0,7.0,7.0
por,13.0,1.0,20.0,296.0,337.0,389.0,6.0,107.0,81.0,7.0,355.0,218.0,5.0,253.0,132.0,332.0,3.0,23.0,32.0,306.0,2.0,365.0,313.0,7.0,1.0,2.0,102.0,194.0,312.0,11.0,387.0,16.0,9.0,314.0,155.0,347.0,193.0,870.0,108.0,96.0,15.0,127.0,328.0,44.0,339.0,92.0,46.0,10.0,238.0,90.0,347.0,222.0,6.0,4.0,9.0,63.0,11.0,13.0,3.0,17.0,108.0,20.0,102.0,3.0,53.0,5.0,203.0,99.0,243.0,5.0,13.0,251.0,19.0,214.0,4.0,92.0,236.0,309.0,2.0,28.0,211.0,346.0,6.0,47.0,234.0,47.0,132.0,3.0,7.0,5.0
arb,17.0,5.0,46.0,130.0,122.0,105.0,23.0,31.0,69.0,7.0,119.0,114.0,9.0,158.0,71.0,120.0,2.0,33.0,45.0,143.0,12.0,103.0,132.0,16.0,9.0,6.0,61.0,104.0,120.0,9.0,104.0,13.0,9.0,113.0,96.0,93.0,128.0,108.0,870.0,75.0,54.0,88.0,118.0,78.0,127.0,51.0,49.0,6.0,122.0,75.0,134.0,113.0,9.0,8.0,3.0,46.0,15.0,14.0,26.0,10.0,77.0,15.0,62.0,0.0,25.0,22.0,95.0,89.0,112.0,34.0,23.0,130.0,4.0,111.0,10.0,108.0,101.0,110.0,0.0,20.0,102.0,103.0,8.0,61.0,131.0,54.0,94.0,7.0,9.0,16.0
quc,4.0,4.0,22.0,108.0,104.0,99.0,13.0,50.0,25.0,6.0,100.0,112.0,4.0,102.0,66.0,98.0,5.0,17.0,34.0,99.0,7.0,88.0,103.0,9.0,9.0,10.0,45.0,110.0,103.0,11.0,105.0,7.0,8.0,109.0,78.0,97.0,87.0,96.0,75.0,870.0,16.0,48.0,103.0,36.0,97.0,21.0,42.0,1.0,105.0,63.0,104.0,115.0,9.0,10.0,3.0,31.0,1.0,16.0,10.0,6.0,81.0,18.0,53.0,4.0,13.0,13.0,86.0,52.0,89.0,11.0,12.0,101.0,3.0,99.0,6.0,59.0,92.0,93.0,4.0,19.0,96.0,99.0,5.0,46.0,99.0,49.0,87.0,3.0,11.0,6.0
mar,12.0,11.0,20.0,19.0,20.0,19.0,20.0,14.0,19.0,9.0,21.0,33.0,8.0,57.0,20.0,15.0,3.0,32.0,3.0,25.0,12.0,17.0,42.0,16.0,6.0,8.0,35.0,31.0,21.0,13.0,14.0,9.0,10.0,28.0,27.0,14.0,19.0,15.0,54.0,16.0,870.0,25.0,21.0,15.0,21.0,27.0,14.0,15.0,17.0,10.0,19.0,24.0,11.0,4.0,10.0,20.0,41.0,17.0,25.0,8.0,26.0,12.0,22.0,28.0,18.0,23.0,19.0,44.0,25.0,44.0,12.0,24.0,20.0,21.0,8.0,39.0,23.0,21.0,8.0,12.0,33.0,22.0,12.0,19.0,45.0,15.0,14.0,6.0,12.0,3.0
fra,3.0,8.0,23.0,90.0,90.0,115.0,17.0,17.0,86.0,6.0,104.0,69.0,4.0,119.0,19.0,111.0,2.0,21.0,29.0,115.0,7.0,106.0,135.0,23.0,16.0,5.0,122.0,63.0,87.0,11.0,115.0,15.0,7.0,84.0,148.0,81.0,114.0,127.0,88.0,48.0,25.0,870.0,118.0,31.0,102.0,142.0,42.0,11.0,99.0,42.0,95.0,77.0,8.0,2.0,5.0,17.0,18.0,16.0,28.0,1.0,42.0,23.0,46.0,5.0,34.0,19.0,90.0,62.0,84.0,18.0,37.0,110.0,3.0,126.0,10.0,90.0,98.0,106.0,8.0,35.0,49.0,105.0,11.0,35.0,128.0,36.0,54.0,3.0,21.0,10.0
ukr,18.0,7.0,32.0,395.0,423.0,456.0,10.0,96.0,56.0,7.0,513.0,276.0,6.0,261.0,136.0,461.0,5.0,24.0,38.0,389.0,5.0,422.0,310.0,3.0,3.0,3.0,116.0,258.0,393.0,2.0,348.0,13.0,5.0,393.0,182.0,413.0,222.0,328.0,118.0,103.0,21.0,118.0,870.0,68.0,454.0,58.0,59.0,18.0,291.0,82.0,461.0,222.0,4.0,8.0,4.0,62.0,5.0,26.0,1.0,16.0,119.0,10.0,119.0,4.0,76.0,4.0,257.0,84.0,253.0,5.0,3.0,303.0,17.0,305.0,6.0,103.0,236.0,327.0,2.0,40.0,198.0,424.0,5.0,44.0,290.0,47.0,169.0,6.0,15.0,5.0
cym,17.0,8.0,85.0,74.0,74.0,50.0,24.0,21.0,29.0,7.0,61.0,56.0,5.0,69.0,32.0,75.0,2.0,20.0,26.0,81.0,14.0,53.0,64.0,16.0,2.0,7.0,51.0,63.0,66.0,20.0,48.0,20.0,11.0,73.0,50.0,42.0,73.0,44.0,78.0,36.0,15.0,31.0,68.0,870.0,65.0,30.0,32.0,3.0,93.0,40.0,73.0,57.0,13.0,6.0,2.0,28.0,6.0,23.0,9.0,7.0,51.0,8.0,77.0,2.0,29.0,20.0,56.0,28.0,36.0,11.0,9.0,69.0,4.0,88.0,10.0,42.0,38.0,62.0,8.0,16.0,54.0,66.0,18.0,35.0,63.0,40.0,48.0,3.0,7.0,12.0
hbs,18.0,10.0,32.0,456.0,551.0,579.0,3.0,117.0,40.0,6.0,517.0,272.0,9.0,291.0,160.0,527.0,6.0,19.0,36.0,346.0,2.0,530.0,353.0,4.0,1.0,4.0,124.0,246.0,559.0,6.0,407.0,2.0,1.0,469.0,179.0,555.0,246.0,339.0,127.0,97.0,21.0,102.0,454.0,65.0,870.0,41.0,84.0,21.0,334.0,68.0,625.0,231.0,3.0,4.0,3.0,66.0,18.0,18.0,2.0,15.0,116.0,0.0,119.0,7.0,77.0,12.0,314.0,100.0,250.0,1.0,1.0,382.0,30.0,247.0,1.0,81.0,276.0,367.0,7.0,36.0,204.0,533.0,4.0,45.0,272.0,46.0,196.0,2.0,4.0,5.0
glg,7.0,6.0,29.0,37.0,37.0,53.0,23.0,18.0,75.0,8.0,43.0,26.0,7.0,48.0,12.0,45.0,4.0,23.0,24.0,62.0,4.0,42.0,66.0,17.0,9.0,6.0,48.0,26.0,35.0,14.0,56.0,16.0,6.0,38.0,70.0,27.0,57.0,92.0,51.0,21.0,27.0,142.0,58.0,30.0,41.0,870.0,28.0,9.0,60.0,32.0,45.0,22.0,14.0,9.0,7.0,25.0,10.0,20.0,17.0,7.0,28.0,20.0,34.0,1.0,26.0,15.0,28.0,43.0,41.0,10.0,31.0,51.0,9.0,50.0,12.0,63.0,43.0,47.0,9.0,9.0,20.0,34.0,12.0,24.0,44.0,21.0,31.0,11.0,17.0,10.0
fao,12.0,6.0,26.0,63.0,75.0,61.0,13.0,17.0,25.0,14.0,62.0,47.0,16.0,59.0,27.0,63.0,15.0,7.0,19.0,48.0,8.0,52.0,62.0,15.0,10.0,3.0,33.0,45.0,71.0,10.0,48.0,14.0,8.0,58.0,51.0,66.0,95.0,46.0,49.0,42.0,14.0,42.0,59.0,32.0,84.0,28.0,870.0,11.0,57.0,25.0,74.0,37.0,7.0,8.0,9.0,28.0,11.0,21.0,9.0,7.0,33.0,3.0,34.0,5.0,26.0,10.0,58.0,45.0,41.0,7.0,10.0,71.0,10.0,50.0,8.0,44.0,49.0,41.0,15.0,11.0,43.0,66.0,7.0,28.0,47.0,25.0,57.0,12.0,12.0,8.0
uzb,10.0,23.0,1.0,15.0,16.0,28.0,4.0,9.0,5.0,9.0,15.0,18.0,17.0,20.0,22.0,18.0,11.0,0.0,3.0,8.0,5.0,20.0,19.0,6.0,10.0,8.0,8.0,16.0,27.0,1.0,19.0,1.0,6.0,20.0,29.0,19.0,12.0,10.0,6.0,1.0,15.0,11.0,18.0,3.0,21.0,9.0,11.0,870.0,9.0,6.0,18.0,5.0,5.0,4.0,9.0,29.0,19.0,2.0,8.0,14.0,7.0,2.0,5.0,26.0,23.0,1.0,19.0,29.0,35.0,6.0,6.0,18.0,53.0,16.0,8.0,19.0,12.0,15.0,12.0,2.0,8.0,25.0,3.0,3.0,15.0,2.0,17.0,12.0,3.0,3.0
lit,20.0,5.0,55.0,325.0,293.0,283.0,19.0,83.0,51.0,9.0,266.0,204.0,8.0,240.0,91.0,279.0,6.0,30.0,42.0,260.0,9.0,257.0,318.0,14.0,3.0,7.0,122.0,186.0,308.0,12.0,244.0,14.0,12.0,326.0,168.0,232.0,220.0,238.0,122.0,105.0,17.0,99.0,291.0,93.0,334.0,60.0,57.0,9.0,870.0,77.0,332.0,199.0,7.0,16.0,3.0,48.0,7.0,24.0,7.0,9.0,111.0,16.0,148.0,1.0,69.0,18.0,210.0,88.0,170.0,3.0,5.0,281.0,5.0,242.0,7.0,81.0,166.0,231.0,5.0,32.0,170.0,281.0,9.0,46.0,243.0,45.0,130.0,4.0,10.0,13.0
ota,7.0,10.0,23.0,80.0,71.0,85.0,10.0,45.0,37.0,5.0,77.0,69.0,8.0,77.0,52.0,82.0,6.0,13.0,39.0,92.0,6.0,89.0,91.0,9.0,9.0,6.0,36.0,80.0,71.0,6.0,83.0,8.0,14.0,77.0,64.0,76.0,69.0,90.0,75.0,63.0,10.0,42.0,82.0,40.0,68.0,32.0,25.0,6.0,77.0,870.0,76.0,74.0,7.0,3.0,7.0,33.0,5.0,18.0,5.0,3.0,66.0,5.0,42.0,7.0,22.0,9.0,57.0,67.0,85.0,4.0,13.0,73.0,1.0,92.0,4.0,47.0,66.0,83.0,6.0,22.0,68.0,73.0,4.0,38.0,82.0,43.0,62.0,5.0,9.0,8.0
ces,21.0,8.0,29.0,468.0,598.0,550.0,5.0,118.0,38.0,5.0,544.0,272.0,8.0,309.0,155.0,499.0,6.0,20.0,38.0,362.0,3.0,535.0,366.0,8.0,1.0,2.0,112.0,248.0,557.0,5.0,424.0,8.0,1.0,497.0,174.0,543.0,257.0,347.0,134.0,104.0,19.0,95.0,461.0,73.0,625.0,45.0,74.0,18.0,332.0,76.0,870.0,265.0,4.0,5.0,10.0,74.0,16.0,18.0,0.0,16.0,117.0,4.0,149.0,4.0,99.0,12.0,306.0,105.0,268.0,3.0,1.0,404.0,29.0,254.0,7.0,96.0,262.0,363.0,5.0,36.0,236.0,510.0,4.0,43.0,273.0,43.0,188.0,3.0,3.0,3.0
nds,34.0,7.0,21.0,228.0,242.0,240.0,5.0,99.0,35.0,2.0,250.0,251.0,2.0,209.0,119.0,230.0,6.0,22.0,38.0,225.0,7.0,219.0,240.0,11.0,2.0,3.0,76.0,229.0,251.0,7.0,276.0,10.0,7.0,279.0,131.0,265.0,174.0,222.0,113.0,115.0,24.0,77.0,222.0,57.0,231.0,22.0,37.0,5.0,199.0,74.0,265.0,870.0,1.0,0.0,3.0,65.0,5.0,17.0,7.0,16.0,128.0,3.0,110.0,7.0,53.0,4.0,173.0,73.0,172.0,4.0,3.0,223.0,10.0,186.0,6.0,66.0,188.0,199.0,4.0,37.0,285.0,269.0,7.0,50.0,203.0,45.0,131.0,2.0,9.0,8.0
bor,16.0,9.0,14.0,17.0,3.0,6.0,21.0,5.0,15.0,6.0,3.0,6.0,4.0,0.0,2.0,5.0,6.0,13.0,15.0,6.0,14.0,2.0,4.0,12.0,10.0,9.0,11.0,8.0,5.0,21.0,4.0,18.0,8.0,3.0,8.0,3.0,7.0,6.0,9.0,9.0,11.0,8.0,4.0,13.0,3.0,14.0,7.0,5.0,7.0,7.0,4.0,1.0,870.0,14.0,6.0,5.0,2.0,16.0,11.0,10.0,20.0,24.0,94.0,2.0,4.0,14.0,3.0,3.0,4.0,8.0,10.0,5.0,0.0,13.0,19.0,5.0,10.0,14.0,5.0,8.0,9.0,3.0,19.0,6.0,4.0,10.0,9.0,9.0,15.0,7.0
olo,3.0,4.0,10.0,20.0,6.0,4.0,13.0,3.0,7.0,7.0,1.0,3.0,7.0,7.0,1.0,2.0,9.0,10.0,9.0,8.0,16.0,4.0,5.0,11.0,22.0,11.0,7.0,2.0,6.0,11.0,5.0,11.0,5.0,7.0,5.0,1.0,4.0,4.0,8.0,10.0,4.0,2.0,8.0,6.0,4.0,9.0,8.0,4.0,16.0,3.0,5.0,0.0,14.0,870.0,7.0,4.0,3.0,5.0,13.0,18.0,10.0,7.0,18.0,5.0,7.0,12.0,3.0,3.0,1.0,11.0,12.0,5.0,3.0,4.0,10.0,5.0,4.0,11.0,7.0,2.0,4.0,2.0,10.0,9.0,7.0,7.0,5.0,15.0,15.0,8.0
hit,14.0,8.0,4.0,4.0,8.0,8.0,7.0,11.0,7.0,16.0,4.0,7.0,13.0,2.0,5.0,6.0,10.0,6.0,3.0,4.0,4.0,2.0,9.0,8.0,11.0,11.0,4.0,8.0,4.0,5.0,3.0,6.0,6.0,3.0,13.0,7.0,5.0,9.0,3.0,3.0,10.0,5.0,4.0,2.0,3.0,7.0,9.0,9.0,3.0,7.0,10.0,3.0,6.0,7.0,870.0,10.0,13.0,6.0,4.0,18.0,5.0,5.0,6.0,23.0,11.0,7.0,4.0,11.0,10.0,3.0,5.0,11.0,10.0,1.0,7.0,10.0,3.0,3.0,16.0,6.0,2.0,2.0,14.0,10.0,9.0,3.0,7.0,15.0,12.0,5.0
uig,12.0,17.0,13.0,59.0,66.0,65.0,7.0,23.0,16.0,6.0,67.0,90.0,7.0,73.0,37.0,68.0,7.0,0.0,14.0,59.0,5.0,63.0,74.0,8.0,2.0,4.0,18.0,64.0,63.0,16.0,67.0,1.0,8.0,73.0,43.0,65.0,41.0,63.0,46.0,31.0,20.0,17.0,62.0,28.0,66.0,25.0,28.0,29.0,48.0,33.0,74.0,65.0,5.0,4.0,10.0,870.0,20.0,7.0,6.0,24.0,25.0,2.0,45.0,37.0,59.0,7.0,43.0,67.0,79.0,11.0,4.0,60.0,36.0,52.0,1.0,41.0,55.0,51.0,11.0,6.0,76.0,57.0,1.0,24.0,42.0,20.0,36.0,7.0,4.0,4.0
tam,10.0,23.0,0.0,3.0,18.0,14.0,4.0,17.0,3.0,13.0,9.0,10.0,18.0,45.0,6.0,8.0,14.0,1.0,0.0,1.0,2.0,11.0,42.0,24.0,6.0,10.0,14.0,4.0,11.0,2.0,9.0,0.0,5.0,5.0,27.0,14.0,14.0,11.0,15.0,1.0,41.0,18.0,5.0,6.0,18.0,10.0,11.0,19.0,7.0,5.0,16.0,5.0,2.0,3.0,13.0,20.0,870.0,1.0,29.0,7.0,0.0,2.0,2.0,47.0,6.0,3.0,9.0,87.0,22.0,15.0,20.0,19.0,59.0,4.0,5.0,31.0,16.0,5.0,14.0,6.0,9.0,8.0,3.0,8.0,16.0,6.0,6.0,14.0,1.0,4.0
mdf,11.0,9.0,26.0,25.0,14.0,6.0,15.0,20.0,24.0,8.0,9.0,73.0,4.0,25.0,6.0,19.0,1.0,18.0,16.0,22.0,12.0,9.0,26.0,19.0,5.0,1.0,13.0,82.0,21.0,1.0,23.0,19.0,6.0,25.0,19.0,11.0,36.0,13.0,14.0,16.0,17.0,16.0,26.0,23.0,18.0,20.0,21.0,2.0,24.0,18.0,18.0,17.0,16.0,5.0,6.0,7.0,1.0,870.0,6.0,2.0,29.0,26.0,9.0,0.0,14.0,15.0,23.0,23.0,10.0,15.0,10.0,18.0,0.0,25.0,16.0,6.0,8.0,18.0,0.0,24.0,26.0,20.0,11.0,6.0,24.0,13.0,6.0,2.0,11.0,10.0
kmr,11.0,10.0,10.0,5.0,2.0,2.0,12.0,8.0,16.0,17.0,1.0,5.0,8.0,28.0,2.0,1.0,17.0,15.0,11.0,6.0,7.0,0.0,16.0,23.0,15.0,3.0,16.0,3.0,0.0,8.0,0.0,1.0,5.0,2.0,10.0,1.0,15.0,3.0,26.0,10.0,25.0,28.0,1.0,9.0,2.0,17.0,9.0,8.0,7.0,5.0,0.0,7.0,11.0,13.0,4.0,6.0,29.0,6.0,870.0,10.0,16.0,6.0,3.0,16.0,4.0,4.0,1.0,21.0,1.0,26.0,17.0,8.0,5.0,7.0,7.0,19.0,15.0,2.0,16.0,13.0,3.0,2.0,13.0,10.0,10.0,6.0,3.0,6.0,11.0,2.0
sms,26.0,8.0,8.0,17.0,17.0,14.0,10.0,3.0,8.0,7.0,16.0,16.0,10.0,13.0,16.0,17.0,18.0,1.0,4.0,13.0,5.0,18.0,17.0,6.0,13.0,12.0,7.0,6.0,14.0,5.0,21.0,11.0,12.0,16.0,4.0,18.0,10.0,17.0,10.0,6.0,8.0,1.0,16.0,7.0,15.0,7.0,7.0,14.0,9.0,3.0,16.0,16.0,10.0,18.0,18.0,24.0,7.0,2.0,10.0,870.0,9.0,6.0,18.0,10.0,6.0,12.0,6.0,11.0,20.0,7.0,6.0,9.0,8.0,13.0,8.0,5.0,19.0,10.0,13.0,10.0,18.0,18.0,12.0,6.0,10.0,5.0,8.0,20.0,6.0,6.0
sme,21.0,8.0,24.0,136.0,112.0,123.0,9.0,58.0,34.0,6.0,110.0,113.0,4.0,106.0,77.0,117.0,5.0,17.0,28.0,116.0,8.0,106.0,109.0,11.0,7.0,3.0,32.0,113.0,124.0,9.0,118.0,25.0,9.0,118.0,78.0,111.0,95.0,108.0,77.0,81.0,26.0,42.0,119.0,51.0,116.0,28.0,33.0,7.0,111.0,66.0,117.0,128.0,20.0,10.0,5.0,25.0,0.0,29.0,16.0,9.0,870.0,9.0,53.0,1.0,10.0,16.0,111.0,49.0,90.0,3.0,5.0,118.0,6.0,112.0,8.0,52.0,86.0,123.0,7.0,13.0,112.0,114.0,12.0,53.0,122.0,52.0,94.0,4.0,11.0,7.0
abk,8.0,4.0,25.0,4.0,4.0,3.0,16.0,5.0,8.0,3.0,2.0,8.0,3.0,6.0,5.0,7.0,3.0,12.0,25.0,9.0,10.0,4.0,3.0,15.0,5.0,4.0,17.0,11.0,4.0,11.0,4.0,10.0,11.0,9.0,5.0,3.0,12.0,20.0,15.0,18.0,12.0,23.0,10.0,8.0,0.0,20.0,3.0,2.0,16.0,5.0,4.0,3.0,24.0,7.0,5.0,2.0,2.0,26.0,6.0,6.0,9.0,870.0,8.0,3.0,22.0,19.0,6.0,3.0,3.0,5.0,4.0,4.0,5.0,14.0,12.0,3.0,1.0,23.0,1.0,4.0,15.0,1.0,10.0,12.0,8.0,16.0,7.0,4.0,13.0,14.0
sqi,26.0,13.0,37.0,153.0,140.0,129.0,31.0,29.0,31.0,5.0,134.0,90.0,5.0,119.0,38.0,136.0,0.0,25.0,38.0,131.0,12.0,107.0,150.0,6.0,3.0,8.0,86.0,91.0,147.0,16.0,118.0,19.0,11.0,153.0,74.0,94.0,108.0,102.0,62.0,53.0,22.0,46.0,119.0,77.0,119.0,34.0,34.0,5.0,148.0,42.0,149.0,110.0,94.0,18.0,6.0,45.0,2.0,9.0,3.0,18.0,53.0,8.0,870.0,0.0,65.0,20.0,98.0,43.0,80.0,19.0,6.0,108.0,3.0,115.0,15.0,72.0,67.0,126.0,8.0,16.0,99.0,128.0,21.0,26.0,118.0,25.0,68.0,5.0,8.0,13.0
xnr,6.0,10.0,1.0,5.0,3.0,8.0,1.0,9.0,2.0,13.0,5.0,7.0,13.0,9.0,11.0,5.0,12.0,7.0,3.0,1.0,6.0,6.0,9.0,6.0,9.0,8.0,3.0,9.0,4.0,8.0,6.0,1.0,8.0,5.0,16.0,7.0,5.0,3.0,0.0,4.0,28.0,5.0,4.0,2.0,7.0,1.0,5.0,26.0,1.0,7.0,4.0,7.0,2.0,5.0,23.0,37.0,47.0,0.0,16.0,10.0,1.0,3.0,0.0,870.0,8.0,2.0,2.0,24.0,10.0,5.0,8.0,14.0,44.0,1.0,3.0,11.0,4.0,1.0,15.0,4.0,2.0,5.0,2.0,11.0,10.0,3.0,5.0,10.0,7.0,5.0
kaz,24.0,6.0,10.0,69.0,84.0,71.0,22.0,25.0,21.0,8.0,80.0,60.0,4.0,76.0,16.0,70.0,3.0,31.0,21.0,87.0,4.0,76.0,80.0,6.0,3.0,1.0,32.0,48.0,65.0,13.0,85.0,14.0,5.0,101.0,43.0,79.0,44.0,53.0,25.0,13.0,18.0,34.0,76.0,29.0,77.0,26.0,26.0,23.0,69.0,22.0,99.0,53.0,4.0,7.0,11.0,59.0,6.0,14.0,4.0,6.0,10.0,22.0,65.0,8.0,870.0,11.0,41.0,35.0,63.0,12.0,5.0,80.0,17.0,67.0,6.0,32.0,45.0,67.0,8.0,16.0,59.0,83.0,6.0,6.0,67.0,16.0,28.0,2.0,7.0,12.0
nhi,17.0,10.0,22.0,18.0,0.0,2.0,19.0,6.0,14.0,7.0,0.0,11.0,6.0,4.0,0.0,3.0,3.0,11.0,18.0,0.0,6.0,2.0,17.0,13.0,7.0,9.0,17.0,3.0,7.0,19.0,2.0,31.0,11.0,9.0,9.0,4.0,13.0,5.0,22.0,13.0,23.0,19.0,4.0,20.0,12.0,15.0,10.0,1.0,18.0,9.0,12.0,4.0,14.0,12.0,7.0,7.0,3.0,15.0,4.0,12.0,16.0,19.0,20.0,2.0,11.0,870.0,2.0,10.0,3.0,8.0,16.0,11.0,0.0,8.0,26.0,12.0,7.0,13.0,1.0,6.0,8.0,2.0,12.0,9.0,5.0,13.0,14.0,6.0,13.0,7.0
hyw,17.0,18.0,34.0,252.0,263.0,301.0,13.0,70.0,29.0,7.0,302.0,209.0,5.0,268.0,93.0,311.0,3.0,9.0,31.0,273.0,0.0,293.0,234.0,6.0,4.0,4.0,105.0,204.0,294.0,6.0,248.0,11.0,1.0,302.0,150.0,290.0,216.0,203.0,95.0,86.0,19.0,90.0,257.0,56.0,314.0,28.0,58.0,19.0,210.0,57.0,306.0,173.0,3.0,3.0,4.0,43.0,9.0,23.0,1.0,6.0,111.0,6.0,98.0,2.0,41.0,2.0,870.0,102.0,243.0,1.0,4.0,212.0,17.0,191.0,7.0,77.0,148.0,252.0,4.0,16.0,160.0,265.0,2.0,44.0,395.0,42.0,122.0,4.0,6.0,4.0
tur,17.0,17.0,24.0,96.0,98.0,91.0,3.0,33.0,30.0,10.0,87.0,84.0,22.0,140.0,32.0,97.0,5.0,9.0,30.0,101.0,9.0,98.0,171.0,13.0,8.0,1.0,65.0,91.0,98.0,5.0,89.0,4.0,9.0,108.0,111.0,89.0,94.0,99.0,89.0,52.0,44.0,62.0,84.0,28.0,100.0,43.0,45.0,29.0,88.0,67.0,105.0,73.0,3.0,3.0,11.0,67.0,87.0,23.0,21.0,11.0,49.0,3.0,43.0,24.0,35.0,10.0,102.0,870.0,110.0,13.0,20.0,99.0,39.0,82.0,13.0,92.0,51.0,92.0,21.0,19.0,90.0,83.0,11.0,34.0,116.0,26.0,70.0,8.0,6.0,5.0
hin,12.0,17.0,16.0,228.0,251.0,272.0,1.0,70.0,36.0,8.0,283.0,188.0,5.0,242.0,114.0,271.0,2.0,12.0,22.0,226.0,7.0,267.0,254.0,1.0,2.0,1.0,90.0,183.0,240.0,2.0,255.0,0.0,4.0,248.0,135.0,283.0,152.0,243.0,112.0,89.0,25.0,84.0,253.0,36.0,250.0,41.0,41.0,35.0,170.0,85.0,268.0,172.0,4.0,1.0,10.0,79.0,22.0,10.0,1.0,20.0,90.0,3.0,80.0,10.0,63.0,3.0,243.0,110.0,870.0,0.0,2.0,202.0,40.0,160.0,1.0,149.0,177.0,221.0,2.0,14.0,177.0,254.0,3.0,42.0,245.0,44.0,117.0,5.0,5.0,2.0
amh,23.0,22.0,11.0,5.0,0.0,1.0,12.0,9.0,9.0,8.0,0.0,16.0,13.0,28.0,1.0,2.0,11.0,29.0,9.0,6.0,11.0,3.0,9.0,37.0,13.0,4.0,14.0,16.0,2.0,17.0,3.0,12.0,10.0,4.0,10.0,0.0,8.0,5.0,34.0,11.0,44.0,18.0,5.0,11.0,1.0,10.0,7.0,6.0,3.0,4.0,3.0,4.0,8.0,11.0,3.0,11.0,15.0,15.0,26.0,7.0,3.0,5.0,19.0,5.0,12.0,8.0,1.0,13.0,0.0,870.0,15.0,5.0,0.0,3.0,4.0,23.0,11.0,2.0,13.0,12.0,23.0,2.0,14.0,12.0,12.0,10.0,8.0,9.0,9.0,9.0
mkd,2.0,9.0,7.0,7.0,1.0,2.0,12.0,12.0,19.0,8.0,3.0,2.0,12.0,28.0,0.0,3.0,14.0,12.0,15.0,6.0,5.0,6.0,9.0,22.0,10.0,10.0,17.0,4.0,1.0,12.0,6.0,8.0,8.0,2.0,20.0,3.0,16.0,13.0,23.0,12.0,12.0,37.0,3.0,9.0,1.0,31.0,10.0,6.0,5.0,13.0,1.0,3.0,10.0,12.0,5.0,4.0,20.0,10.0,17.0,6.0,5.0,4.0,6.0,8.0,5.0,16.0,4.0,20.0,2.0,15.0,870.0,11.0,1.0,8.0,11.0,21.0,12.0,5.0,11.0,12.0,16.0,2.0,4.0,8.0,17.0,7.0,9.0,14.0,10.0,6.0
slk,18.0,8.0,30.0,315.0,354.0,324.0,7.0,90.0,54.0,7.0,316.0,218.0,9.0,252.0,110.0,319.0,9.0,25.0,47.0,278.0,5.0,305.0,326.0,4.0,2.0,7.0,113.0,188.0,361.0,13.0,268.0,9.0,7.0,310.0,207.0,309.0,218.0,251.0,130.0,101.0,24.0,110.0,303.0,69.0,382.0,51.0,71.0,18.0,281.0,73.0,404.0,223.0,5.0,5.0,11.0,60.0,19.0,18.0,8.0,9.0,118.0,4.0,108.0,14.0,80.0,11.0,212.0,99.0,202.0,5.0,11.0,870.0,30.0,253.0,3.0,105.0,216.0,244.0,14.0,52.0,182.0,329.0,2.0,51.0,254.0,53.0,164.0,3.0,5.0,4.0
kir,12.0,26.0,0.0,20.0,40.0,27.0,1.0,11.0,0.0,11.0,32.0,19.0,9.0,24.0,26.0,30.0,6.0,0.0,0.0,12.0,7.0,39.0,28.0,1.0,1.0,9.0,3.0,17.0,28.0,2.0,22.0,0.0,9.0,18.0,13.0,40.0,7.0,19.0,4.0,3.0,20.0,3.0,17.0,4.0,30.0,9.0,10.0,53.0,5.0,1.0,29.0,10.0,0.0,3.0,10.0,36.0,59.0,0.0,5.0,8.0,6.0,5.0,3.0,44.0,17.0,0.0,17.0,39.0,40.0,0.0,1.0,30.0,870.0,2.0,3.0,9.0,21.0,20.0,13.0,2.0,6.0,35.0,1.0,16.0,12.0,3.0,6.0,15.0,4.0,5.0
