,left_branch_island_echo_question,coordinate_structure_constraint_object_extraction,npi_present_1,determiner_noun_agreement_1,passive_2,left_branch_island_simple_question,causative,intransitive,wh_vs_that_no_gap,principle_A_c_command,transitive,determiner_noun_agreement_2,complex_NP_island,sentential_subject_island,drop_argument,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,regular_plural_subject_verb_agreement_1,wh_vs_that_with_gap,sentential_negation_npi_licensor_present,existential_there_object_raising,principle_A_case_1,passive_1,inchoative,distractor_agreement_relational_noun,irregular_past_participle_adjectives,adjunct_island,regular_plural_subject_verb_agreement_2,wh_vs_that_no_gap_long_distance,irregular_past_participle_verbs,ellipsis_n_bar_1,principle_A_reconstruction,wh_questions_subject_gap,tough_vs_raising_1,ellipsis_n_bar_2,wh_questions_subject_gap_long_distance,coordinate_structure_constraint_complex_left_branch,irregular_plural_subject_verb_agreement_2,animate_subject_passive,determiner_noun_agreement_with_adj_2,wh_questions_object_gap,npi_present_2,anaphor_gender_agreement,principle_A_domain_3,irregular_plural_subject_verb_agreement_1,wh_vs_that_with_gap_long_distance,sentential_negation_npi_scope,distractor_agreement_relative_clause,principle_A_case_2,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,existential_there_quantifiers_1,expletive_it_object_raising,only_npi_licensor_present,principle_A_domain_2,determiner_noun_agreement_irregular_1,determiner_noun_agreement_with_adjective_1,existential_there_quantifiers_2,matrix_question_npi_licensor_present,determiner_noun_agreement_with_adj_irregular_2,wh_island,existential_there_subject_raising,tough_vs_raising_2,animate_subject_trans,anaphor_number_agreement,only_npi_scope,superlative_quantifiers_1
irregular_plural_subject_verb_agreement_1,0.0,3.0,26.0,160.0,37.0,13.0,42.0,24.0,19.0,9.0,57.0,171.0,0.0,0.0,31.0,169.0,1.0,209.0,2.0,28.0,56.0,20.0,44.0,39.0,408.0,123.0,2.0,443.0,7.0,109.0,4.0,0.0,2.0,14.0,1.0,0.0,22.0,425.0,5.0,182.0,0.0,36.0,6.0,17.0,768.0,5.0,28.0,261.0,78.0,146.0,0.0,14.0,0.0,0.0,9.0,152.0,177.0,4.0,0.0,167.0,33.0,77.0,29.0,2.0,70.0,2.0,1.0
wh_vs_that_with_gap_long_distance,14.0,53.0,17.0,38.0,20.0,41.0,12.0,61.0,0.0,14.0,41.0,37.0,38.0,5.0,53.0,34.0,13.0,4.0,468.0,3.0,25.0,18.0,16.0,45.0,3.0,19.0,21.0,11.0,0.0,6.0,30.0,41.0,8.0,70.0,59.0,8.0,29.0,16.0,3.0,24.0,0.0,6.0,10.0,35.0,5.0,768.0,9.0,35.0,33.0,41.0,8.0,4.0,12.0,2.0,26.0,31.0,27.0,0.0,0.0,34.0,14.0,23.0,29.0,10.0,1.0,0.0,12.0
sentential_negation_npi_scope,15.0,8.0,7.0,21.0,3.0,12.0,22.0,19.0,81.0,1.0,53.0,25.0,2.0,4.0,19.0,26.0,5.0,24.0,17.0,320.0,13.0,26.0,21.0,21.0,9.0,14.0,17.0,26.0,87.0,19.0,15.0,2.0,24.0,58.0,24.0,13.0,5.0,25.0,5.0,30.0,0.0,18.0,3.0,31.0,28.0,9.0,768.0,37.0,70.0,29.0,1.0,17.0,13.0,3.0,8.0,22.0,29.0,12.0,1.0,28.0,13.0,8.0,14.0,0.0,5.0,40.0,3.0
distractor_agreement_relative_clause,2.0,19.0,18.0,152.0,43.0,33.0,42.0,55.0,31.0,25.0,52.0,155.0,8.0,0.0,70.0,156.0,5.0,115.0,28.0,19.0,70.0,22.0,69.0,58.0,261.0,92.0,16.0,290.0,41.0,70.0,30.0,1.0,4.0,6.0,1.0,3.0,23.0,276.0,3.0,162.0,2.0,26.0,7.0,18.0,261.0,35.0,37.0,768.0,83.0,131.0,2.0,9.0,7.0,0.0,13.0,121.0,173.0,1.0,0.0,155.0,17.0,75.0,45.0,18.0,47.0,2.0,3.0
principle_A_case_2,5.0,34.0,15.0,58.0,76.0,24.0,51.0,26.0,59.0,3.0,125.0,54.0,5.0,3.0,27.0,64.0,22.0,43.0,33.0,32.0,85.0,46.0,92.0,28.0,44.0,18.0,22.0,58.0,58.0,49.0,23.0,0.0,38.0,36.0,25.0,8.0,5.0,73.0,19.0,59.0,14.0,22.0,8.0,25.0,78.0,33.0,70.0,83.0,768.0,49.0,14.0,14.0,40.0,3.0,17.0,47.0,65.0,4.0,0.0,70.0,18.0,33.0,56.0,4.0,21.0,14.0,18.0
determiner_noun_agreement_irregular_2,4.0,17.0,29.0,552.0,59.0,36.0,69.0,64.0,22.0,0.0,69.0,541.0,0.0,8.0,45.0,527.0,17.0,97.0,32.0,18.0,62.0,17.0,41.0,55.0,153.0,79.0,13.0,156.0,12.0,84.0,33.0,3.0,12.0,27.0,25.0,9.0,17.0,133.0,20.0,520.0,4.0,34.0,5.0,28.0,146.0,41.0,29.0,131.0,49.0,768.0,8.0,4.0,4.0,0.0,6.0,527.0,535.0,10.0,0.0,549.0,30.0,26.0,46.0,14.0,19.0,0.0,2.0
superlative_quantifiers_2,16.0,4.0,31.0,5.0,15.0,8.0,1.0,18.0,11.0,14.0,21.0,4.0,19.0,5.0,17.0,7.0,23.0,2.0,13.0,0.0,15.0,15.0,7.0,6.0,0.0,25.0,19.0,3.0,17.0,6.0,10.0,16.0,25.0,1.0,12.0,26.0,1.0,3.0,18.0,10.0,21.0,35.0,17.0,1.0,0.0,8.0,1.0,2.0,14.0,8.0,768.0,1.0,31.0,11.0,1.0,6.0,8.0,17.0,7.0,9.0,4.0,8.0,21.0,4.0,0.0,7.0,22.0
existential_there_quantifiers_1,4.0,3.0,14.0,16.0,8.0,0.0,4.0,13.0,3.0,0.0,3.0,9.0,0.0,4.0,14.0,10.0,7.0,26.0,4.0,21.0,12.0,8.0,10.0,10.0,30.0,12.0,1.0,12.0,6.0,6.0,0.0,1.0,2.0,3.0,0.0,7.0,9.0,15.0,4.0,19.0,3.0,12.0,4.0,8.0,14.0,4.0,17.0,9.0,14.0,4.0,1.0,768.0,14.0,4.0,2.0,7.0,17.0,57.0,0.0,12.0,9.0,27.0,3.0,11.0,14.0,6.0,2.0
expletive_it_object_raising,13.0,11.0,25.0,6.0,34.0,14.0,13.0,3.0,30.0,2.0,50.0,5.0,7.0,8.0,8.0,4.0,9.0,5.0,5.0,11.0,163.0,26.0,34.0,10.0,0.0,6.0,4.0,0.0,42.0,11.0,3.0,7.0,11.0,43.0,6.0,2.0,17.0,0.0,16.0,7.0,1.0,13.0,29.0,30.0,0.0,12.0,13.0,7.0,40.0,4.0,31.0,14.0,768.0,0.0,20.0,8.0,6.0,2.0,0.0,5.0,21.0,53.0,50.0,15.0,9.0,6.0,2.0
only_npi_licensor_present,2.0,6.0,4.0,0.0,9.0,5.0,3.0,0.0,2.0,20.0,4.0,0.0,19.0,12.0,0.0,0.0,17.0,0.0,3.0,18.0,0.0,6.0,3.0,1.0,0.0,9.0,2.0,0.0,1.0,2.0,1.0,18.0,12.0,0.0,3.0,15.0,1.0,0.0,24.0,0.0,9.0,11.0,15.0,5.0,0.0,2.0,3.0,0.0,3.0,0.0,11.0,4.0,0.0,768.0,2.0,0.0,0.0,17.0,20.0,0.0,5.0,1.0,8.0,21.0,0.0,197.0,13.0
principle_A_domain_2,10.0,41.0,19.0,7.0,14.0,12.0,24.0,17.0,36.0,57.0,29.0,10.0,11.0,41.0,23.0,10.0,16.0,5.0,29.0,18.0,24.0,36.0,9.0,16.0,6.0,9.0,7.0,9.0,35.0,5.0,25.0,19.0,14.0,14.0,19.0,10.0,12.0,15.0,4.0,7.0,33.0,19.0,0.0,169.0,9.0,26.0,8.0,13.0,17.0,6.0,1.0,2.0,20.0,2.0,768.0,6.0,10.0,3.0,5.0,7.0,3.0,29.0,39.0,3.0,12.0,2.0,9.0
determiner_noun_agreement_irregular_1,4.0,11.0,28.0,541.0,49.0,30.0,44.0,57.0,20.0,0.0,47.0,548.0,2.0,5.0,42.0,435.0,8.0,72.0,19.0,5.0,74.0,22.0,37.0,52.0,168.0,91.0,10.0,161.0,8.0,94.0,20.0,1.0,7.0,23.0,11.0,8.0,12.0,143.0,11.0,494.0,3.0,25.0,3.0,26.0,152.0,31.0,22.0,121.0,47.0,527.0,6.0,7.0,8.0,0.0,6.0,768.0,492.0,7.0,0.0,465.0,14.0,26.0,42.0,9.0,18.0,3.0,3.0
determiner_noun_agreement_with_adjective_1,5.0,13.0,28.0,588.0,58.0,31.0,68.0,78.0,25.0,0.0,59.0,586.0,0.0,7.0,57.0,549.0,14.0,92.0,24.0,15.0,73.0,28.0,38.0,83.0,180.0,73.0,18.0,208.0,13.0,83.0,26.0,3.0,8.0,30.0,15.0,12.0,20.0,167.0,19.0,667.0,4.0,31.0,7.0,30.0,177.0,27.0,29.0,173.0,65.0,535.0,8.0,17.0,6.0,0.0,10.0,492.0,768.0,12.0,0.0,576.0,29.0,41.0,34.0,13.0,18.0,0.0,7.0
existential_there_quantifiers_2,2.0,1.0,1.0,13.0,0.0,0.0,6.0,3.0,1.0,9.0,6.0,7.0,5.0,0.0,7.0,11.0,2.0,0.0,0.0,21.0,1.0,10.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,4.0,2.0,3.0,0.0,4.0,13.0,7.0,2.0,3.0,4.0,4.0,0.0,12.0,1.0,4.0,10.0,17.0,57.0,2.0,17.0,3.0,7.0,12.0,768.0,5.0,9.0,0.0,0.0,1.0,17.0,0.0,20.0,9.0
matrix_question_npi_licensor_present,5.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,11.0,3.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,1.0,2.0,0.0,0.0,14.0,0.0,4.0,4.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,5.0,0.0,0.0,5.0,768.0,0.0,12.0,0.0,0.0,2.0,2.0,22.0,18.0
determiner_noun_agreement_with_adj_irregular_2,5.0,17.0,27.0,494.0,67.0,30.0,74.0,68.0,30.0,0.0,68.0,487.0,0.0,7.0,44.0,618.0,13.0,97.0,25.0,21.0,81.0,23.0,50.0,56.0,185.0,71.0,14.0,179.0,15.0,72.0,35.0,4.0,14.0,25.0,21.0,10.0,21.0,150.0,23.0,575.0,4.0,35.0,7.0,17.0,167.0,34.0,28.0,155.0,70.0,549.0,9.0,12.0,5.0,0.0,7.0,465.0,576.0,9.0,0.0,768.0,32.0,33.0,60.0,15.0,19.0,3.0,6.0
wh_island,3.0,25.0,2.0,25.0,16.0,15.0,6.0,23.0,13.0,8.0,18.0,22.0,64.0,18.0,11.0,30.0,9.0,42.0,11.0,9.0,21.0,8.0,25.0,24.0,27.0,17.0,24.0,21.0,17.0,19.0,22.0,25.0,19.0,23.0,25.0,10.0,3.0,20.0,4.0,22.0,16.0,1.0,20.0,16.0,33.0,14.0,13.0,17.0,18.0,30.0,4.0,9.0,21.0,5.0,3.0,14.0,29.0,0.0,12.0,32.0,768.0,17.0,4.0,14.0,18.0,13.0,14.0
existential_there_subject_raising,2.0,15.0,25.0,26.0,28.0,29.0,27.0,24.0,31.0,19.0,38.0,31.0,3.0,10.0,24.0,45.0,14.0,27.0,14.0,0.0,169.0,30.0,27.0,24.0,61.0,47.0,13.0,68.0,44.0,44.0,24.0,1.0,3.0,2.0,8.0,2.0,33.0,62.0,8.0,39.0,4.0,36.0,6.0,21.0,77.0,23.0,8.0,75.0,33.0,26.0,8.0,27.0,53.0,1.0,29.0,26.0,41.0,0.0,0.0,33.0,17.0,768.0,76.0,5.0,32.0,2.0,0.0
tough_vs_raising_2,3.0,20.0,13.0,42.0,39.0,14.0,25.0,53.0,36.0,10.0,34.0,43.0,6.0,4.0,31.0,65.0,9.0,20.0,21.0,9.0,84.0,19.0,29.0,24.0,48.0,37.0,8.0,36.0,36.0,4.0,31.0,6.0,18.0,0.0,9.0,5.0,10.0,44.0,20.0,31.0,12.0,18.0,4.0,31.0,29.0,29.0,14.0,45.0,56.0,46.0,21.0,3.0,50.0,8.0,39.0,42.0,34.0,1.0,0.0,60.0,4.0,76.0,768.0,23.0,23.0,5.0,1.0
animate_subject_trans,7.0,6.0,6.0,12.0,19.0,6.0,16.0,3.0,4.0,3.0,29.0,11.0,7.0,5.0,13.0,12.0,15.0,20.0,4.0,11.0,6.0,27.0,15.0,2.0,7.0,11.0,8.0,11.0,6.0,3.0,13.0,11.0,7.0,8.0,15.0,5.0,7.0,17.0,21.0,15.0,4.0,5.0,67.0,4.0,2.0,10.0,0.0,18.0,4.0,14.0,4.0,11.0,15.0,21.0,3.0,9.0,13.0,17.0,2.0,15.0,14.0,5.0,23.0,768.0,14.0,16.0,10.0
anaphor_number_agreement,1.0,2.0,27.0,22.0,27.0,19.0,15.0,17.0,6.0,10.0,15.0,23.0,1.0,0.0,5.0,40.0,0.0,133.0,3.0,6.0,23.0,13.0,8.0,17.0,92.0,24.0,0.0,47.0,9.0,28.0,6.0,0.0,2.0,10.0,3.0,1.0,27.0,47.0,8.0,20.0,1.0,20.0,29.0,17.0,70.0,1.0,5.0,47.0,21.0,19.0,0.0,14.0,9.0,0.0,12.0,18.0,18.0,0.0,2.0,19.0,18.0,32.0,23.0,14.0,768.0,5.0,2.0
only_npi_scope,4.0,9.0,4.0,0.0,16.0,1.0,1.0,5.0,17.0,9.0,19.0,0.0,10.0,12.0,5.0,3.0,29.0,1.0,1.0,27.0,2.0,13.0,8.0,4.0,1.0,11.0,13.0,2.0,17.0,3.0,14.0,9.0,8.0,0.0,2.0,10.0,0.0,3.0,15.0,0.0,10.0,9.0,16.0,6.0,2.0,0.0,40.0,2.0,14.0,0.0,7.0,6.0,6.0,197.0,2.0,3.0,0.0,20.0,22.0,3.0,13.0,2.0,5.0,16.0,5.0,768.0,21.0
superlative_quantifiers_1,14.0,21.0,4.0,7.0,18.0,9.0,4.0,16.0,15.0,27.0,2.0,7.0,17.0,15.0,6.0,10.0,15.0,0.0,22.0,9.0,5.0,13.0,10.0,10.0,0.0,15.0,11.0,1.0,9.0,4.0,27.0,12.0,23.0,19.0,16.0,11.0,4.0,1.0,12.0,4.0,32.0,5.0,5.0,2.0,1.0,12.0,3.0,3.0,18.0,2.0,22.0,2.0,2.0,13.0,9.0,3.0,7.0,9.0,18.0,6.0,14.0,0.0,1.0,10.0,2.0,21.0,768.0
